2021-01-25 23:51:06,194 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2021-01-25 23:51:06,560 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2021-01-26 00:34:42,378 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@15ce9a56: startup date [Tue Jan 26 00:34:42 BRST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2021-01-26 00:34:43,342 | INFO  | PListStore:[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2021-01-26 00:34:43,359 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-26 00:34:43,644 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-26 00:34:43,661 | INFO  | Recovering from the journal @1:6811 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-26 00:34:43,688 | INFO  | Recovery replayed 519 operations from the journal in 0.037 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-26 00:34:43,857 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58781-1611628483709-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-26 00:34:43,948 | INFO  | Listening for connections at: tcp://GuiDB:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
